record_number,temperature,rate_coefficient,rate_coefficient_error
11567,1.000000e+03,8.620000e-11,6.000000e-13
11567,2.000000e+03,2.130000e-10,1.100000e-12
11567,4.000000e+03,4.350000e-10,2.200000e-12
10847,1.000000e+03,6.610000e-12,1.700000e-13
10847,2.000000e+03,1.270000e-11,2.800000e-13
10847,4.000000e+03,1.990000e-11,5.000000e-13
11222,1.000000e+03,5.600000e-12,1.600000e-13
11222,2.000000e+03,1.310000e-11,2.900000e-13
11222,4.000000e+03,2.960000e-11,5.900000e-13
10848,1.000000e+03,6.640000e-12,1.700000e-13
10848,2.000000e+03,1.180000e-11,2.700000e-13
10848,4.000000e+03,2.030000e-11,4.900000e-13
11223,1.000000e+03,8.280000e-12,2.000000e-13
11223,2.000000e+03,2.010000e-11,3.600000e-13
11223,4.000000e+03,4.140000e-11,7.000000e-13
10857,1.000000e+03,5.540000e-11,5.000000e-13
10857,2.000000e+03,1.040000e-10,8.000000e-13
10857,4.000000e+03,1.520000e-10,1.400000e-12
11232,1.000000e+03,3.400000e-13,3.900000e-15
11232,2.000000e+03,1.590000e-12,1.000000e-13
11232,4.000000e+03,5.040000e-12,2.500000e-13
10858,1.000000e+03,9.270000e-10,2.000000e-12
10858,2.000000e+03,1.140000e-09,2.000000e-12
10858,4.000000e+03,1.450000e-09,3.000000e-12
11233,1.000000e+03,3.820000e-13,4.200000e-15
11233,2.000000e+03,1.340000e-12,9.100000e-14
11233,4.000000e+03,4.150000e-12,2.200000e-13
10859,1.000000e+03,5.190000e-11,5.000000e-13
10859,2.000000e+03,8.870000e-11,7.100000e-13
10859,4.000000e+03,1.240000e-10,1.200000e-12
11234,1.000000e+03,2.900000e-13,3.700000e-14
11234,2.000000e+03,1.150000e-12,8.500000e-14
11234,4.000000e+03,3.230000e-12,2.000000e-13
10860,1.000000e+03,4.330000e-12,1.400000e-13
10860,2.000000e+03,9.090000e-12,2.400000e-13
10860,4.000000e+03,1.410000e-11,4.100000e-13
11235,1.000000e+03,2.440000e-13,3.300000e-14
11235,2.000000e+03,9.450000e-13,7.700000e-14
11235,4.000000e+03,2.020000e-12,1.600000e-13
10861,1.000000e+03,2.800000e-13,3.600000e-14
10861,2.000000e+03,9.270000e-13,7.600000e-14
10861,4.000000e+03,1.340000e-12,1.300000e-14
11236,1.000000e+03,1.330000e-13,2.500000e-14
11236,2.000000e+03,4.760000e-13,5.500000e-14
11236,4.000000e+03,6.300000e-13,8.800000e-14
10849,1.000000e+03,7.290000e-12,1.800000e-13
10849,2.000000e+03,1.390000e-11,2.900000e-13
10849,4.000000e+03,2.210000e-11,5.100000e-13
11224,1.000000e+03,1.310000e-11,2.500000e-13
11224,2.000000e+03,2.950000e-11,4.100000e-13
11224,4.000000e+03,5.580000e-11,8.400000e-13
10850,1.000000e+03,9.070000e-12,2.000000e-13
10850,2.000000e+03,1.840000e-11,3.300000e-13
10850,4.000000e+03,3.200000e-11,6.100000e-13
11225,1.000000e+03,1.800000e-11,2.900000e-13
11225,2.000000e+03,3.860000e-11,5.000000e-13
11225,4.000000e+03,6.630000e-11,8.600000e-13
10851,1.000000e+03,2.080000e-11,3.100000e-13
10851,2.000000e+03,4.230000e-11,5.100000e-13
10851,4.000000e+03,8.090000e-11,9.700000e-13
11226,1.000000e+03,1.520000e-11,2.600000e-13
11226,2.000000e+03,3.610000e-11,4.700000e-13
11226,4.000000e+03,6.540000e-11,9.200000e-13
10852,1.000000e+03,1.020000e-09,2.000000e-12
10852,2.000000e+03,1.340000e-09,3.000000e-12
10852,4.000000e+03,1.740000e-09,3.000000e-12
11227,1.000000e+03,1.730000e-12,9.000000e-14
11227,2.000000e+03,1.080000e-11,2.600000e-13
11227,4.000000e+03,3.840000e-11,6.900000e-13
10853,1.000000e+03,1.620000e-11,2.800000e-13
10853,2.000000e+03,3.210000e-11,4.500000e-13
10853,4.000000e+03,6.140000e-11,8.600000e-13
11228,1.000000e+03,4.920000e-13,4.800000e-15
11228,2.000000e+03,3.060000e-12,1.400000e-13
11228,4.000000e+03,1.890000e-11,4.700000e-13
