record_number,temperature,rate_coefficient,rate_coefficient_error,data_source
11567,1E+3,8.619999999999999701414899688E-11,6e-13,NIFS
11567,2E+3,2.129999999999999882437654508E-10,1.1e-12,NIFS
11567,4E+3,4.349999999999999971071950791E-10,2.2e-12,NIFS
10847,1E+3,6.610000000000000309317718732E-12,1.7e-13,NIFS
10847,2E+3,1.270000000000000041099011762E-11,2.8e-13,NIFS
10847,4E+3,1.990000000000000042773269394E-11,5e-13,NIFS
11222,1E+3,5.600000000000000372041366892E-12,1.6e-13,NIFS
11222,2E+3,1.310000000000000032216541998E-11,2.9e-13,NIFS
11222,4E+3,2.959999999999999988932090999E-11,5.9e-13,NIFS
10848,1E+3,6.639999999999999979538439631E-12,1.7e-13,NIFS
10848,2E+3,1.180000000000000061084568732E-11,2.7e-13,NIFS
10848,4E+3,2.03000000000000003389079963E-11,4.9e-13,NIFS
11223,1E+3,8.279999999999999453798465905E-12,2e-13,NIFS
11223,2E+3,2.010000000000000038332034512E-11,3.6e-13,NIFS
11223,4E+3,4.140000000000000050016659731E-11,7e-13,NIFS
10857,1E+3,5.539999999999999739130217981E-11,5e-13,NIFS
10857,2E+3,1.040000000000000027549727551E-10,8e-13,NIFS
10857,4E+3,1.51999999999999992096009038E-10,1.4e-12,NIFS
11232,1E+3,3.40000000000000015375783285E-13,3.9e-15,NIFS
11232,2E+3,1.59000000000000009120828869E-12,1e-13,NIFS
11232,4E+3,5.040000000000000334837230202E-12,2.5e-13,NIFS
10858,1E+3,9.270000000000000041750906186E-10,2e-12,NIFS
10858,2E+3,1.139999999999999992418856069E-9,2e-12,NIFS
10858,4E+3,1.449999999999999955891458074E-9,3e-12,NIFS
11233,1E+3,3.819999999999999878738347762E-13,4.2e-15,NIFS
11233,2E+3,1.33999999999999994477533298E-12,9.1e-14,NIFS
11233,4E+3,4.149999999999999886237328901E-12,2.2e-13,NIFS
10859,1E+3,5.190000000000000301527968586E-11,5e-13,NIFS
10859,2E+3,8.870000000000000130575603828E-11,7.1e-13,NIFS
10859,4E+3,1.240000000000000112384349441E-10,1.2e-12,NIFS
11234,1E+3,2.899999999999999759917725562E-13,3.7e-14,NIFS
11234,2E+3,1.149999999999999946577386013E-12,8.5e-14,NIFS
11234,4E+3,3.230000000000000171313490174E-12,2e-13,NIFS
10860,1E+3,4.330000000000000330942355129E-12,1.4e-13,NIFS
10860,2E+3,9.089999999999999435487166568E-12,2.4e-13,NIFS
10860,4E+3,1.410000000000000010010367587E-11,4.1e-13,NIFS
11235,1E+3,2.440000000000000205378393803E-13,3.3e-14,NIFS
11235,2E+3,9.449999999999999113206868605E-13,7.7e-14,NIFS
11235,4E+3,2.019999999999999874552703682E-12,1.6e-13,NIFS
10861,1E+3,2.800000000000000186020683446E-13,3.6e-14,NIFS
10861,2E+3,9.269999999999999880192192796E-13,7.6e-14,NIFS
10861,4E+3,1.33999999999999994477533298E-12,1.3e-14,NIFS
11236,1E+3,1.3299999999999998864114329E-13,2.5e-14,NIFS
11236,2E+3,4.759999999999999912338378385E-13,5.5e-14,NIFS
11236,4E+3,6.300000000000000418546537753E-13,8.8e-14,NIFS
10849,1E+3,7.289999999999999835198305961E-12,1.8e-13,NIFS
10849,2E+3,1.390000000000000014451602469E-11,2.9e-13,NIFS
10849,4E+3,2.209999999999999993919685691E-11,5.1e-13,NIFS
11224,1E+3,1.310000000000000032216541998E-11,2.5e-13,NIFS
11224,2E+3,2.95000000000000015271142183E-11,4.1e-13,NIFS
11224,4E+3,5.579999999999999730247748217E-11,8.4e-13,NIFS
10850,1E+3,9.070000000000000732398108564E-12,2e-13,NIFS
10850,2E+3,1.839999999999999914523817621E-11,3.3e-13,NIFS
10850,4E+3,3.199999999999999935637272414E-11,6.1e-13,NIFS
11225,1E+3,1.799999999999999923406287385E-11,2.9e-13,NIFS
11225,2E+3,3.860000000000000112193948081E-11,5e-13,NIFS
11225,4E+3,6.630000000000000627993910629E-11,8.6e-13,NIFS
10851,1E+3,2.079999999999999861228999035E-11,3.1e-13,NIFS
10851,2E+3,4.229999999999999868472389372E-11,5.1e-13,NIFS
10851,4E+3,8.089999999999999980666337454E-11,9.7e-13,NIFS
11226,1E+3,1.519999999999999985583575735E-11,2.6e-13,NIFS
11226,2E+3,3.60999999999999968303324394E-11,4.7e-13,NIFS
11226,4E+3,6.540000000000000163303327431E-11,9.2e-13,NIFS
10852,1E+3,1.01999999999999999321687122E-9,2e-12,NIFS
10852,2E+3,1.340000000000000128952266244E-9,3e-12,NIFS
10852,4E+3,1.739999999999999781633627178E-9,3e-12,NIFS
11227,1E+3,1.730000000000000100509322862E-12,9e-14,NIFS
11227,2E+3,1.079999999999999921732029753E-11,2.6e-13,NIFS
11227,4E+3,3.839999999999999793517756185E-11,6.9e-13,NIFS
10853,1E+3,1.619999999999999963377401325E-11,2.8e-13,NIFS
10853,2E+3,3.209999999999999771857941583E-11,4.5e-13,NIFS
10853,4E+3,6.140000000000000252128025074E-11,8.6e-13,NIFS
11228,1E+3,4.920000000000000240315604453E-13,4.8e-15,NIFS
11228,2E+3,3.059999999999999885946559894E-12,1.4e-13,NIFS
11228,4E+3,1.890000000000000064979443805E-11,4.7e-13,NIFS
10854,1E+3,5.269999999999999960645602279E-12,1.6e-13,NIFS
10854,2E+3,1.009999999999999937276351841E-11,2.5e-13,NIFS
10854,4E+3,1.930000000000000056096974041E-11,4.8e-13,NIFS
11229,1E+3,4.330000000000000229968159261E-13,4.5e-14,NIFS
11229,2E+3,2.149999999999999926464033642E-12,1.2e-13,NIFS
11229,4E+3,1.120000000000000074408273378E-11,3.7e-13,NIFS
10855,1E+3,5.540000000000000223806358149E-12,5e-14,NIFS
10855,2E+3,1.280000000000000038878394321E-11,2.8e-13,NIFS
10855,4E+3,2.090000000000000020567094983E-11,5e-13,NIFS
11230,1E+3,3.129999999999999789622881112E-13,3.8e-14,NIFS
11230,2E+3,1.899999999999999981979469669E-12,1.1e-13,NIFS
11230,4E+3,7.910000000000000020637451393E-12,3.1e-13,NIFS
10856,1E+3,1.009999999999999937276351841E-11,2.1e-13,NIFS
10856,2E+3,2.389999999999999953948571751E-11,3.8e-13,NIFS
10856,4E+3,4.170000000000000204913520797E-11,7.1e-13,NIFS
11231,1E+3,3.1700000000000001240526773E-13,3.8e-14,NIFS
11231,2E+3,1.610000000000000005987697113E-12,1e-13,NIFS
11231,4E+3,6.140000000000000090569311684E-12,2.7e-13,NIFS
11572,1E+3,3.349999999999999805392782764E-10,1e-12,NIFS
11572,2E+3,5.950000000000000132761043065E-10,2.4e-12,NIFS
11572,4E+3,9.549999999999999074844822856E-10,3.8e-12,NIFS
10862,1E+3,7.110000000000000198286846679E-12,1.7e-13,NIFS
10862,2E+3,1.150000000000000067746421055E-11,3.3e-13,NIFS
10862,4E+3,1.770000000000000091626853098E-11,5.1e-13,NIFS
11237,1E+3,8.320000000000000091150849698E-12,1.8e-13,NIFS
11237,2E+3,1.639999999999999958936166443E-11,3.9e-13,NIFS
11237,4E+3,3.140000000000000272078403839E-11,6.9e-13,NIFS
10863,1E+3,7.410000000000000131668323447E-12,1.8e-13,NIFS
10863,2E+3,1.170000000000000063305186173E-11,3.4e-13,NIFS
10863,4E+3,1.850000000000000073861913569E-11,5.4e-13,NIFS
11238,1E+3,1.120000000000000074408273378E-11,2.1e-13,NIFS
11238,2E+3,2.159999999999999843464059507E-11,4.5e-13,NIFS
11238,4E+3,4.170000000000000204913520797E-11,7.9e-13,NIFS
10872,1E+3,5.590000000000000212703270943E-12,1.5e-13,NIFS
10872,2E+3,1.10000000000000007884950826E-11,3.2e-13,NIFS
10872,4E+3,1.550000000000000140480436801E-11,4.8e-13,NIFS
11247,1E+3,9.539999999999999739456165193E-13,6.3e-14,NIFS
