record_number,reaction_formula,reaction_method,QDB_process,reactants,products,Data_type,temperature_unit,rate_coefficient_unit,reference_number,DOI,title,author,journal,volume,page,publish_year
B201212542,"H+ + Al9+(1s22s12p1,3Po0) -> H+ + Al9+(1s22s12p1,3Po1)",Heavy Particle Impact Electronic Excitation,HEX,"H+ + Al9+(1s22s12p1,3Po0) ","H+ + Al9+(1s22s12p1,3Po1)",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201212543,"H+ + Al9+(1s22s12p1,3Po0) -> H+ + Al9+(1s22s12p1,3Po2)",Heavy Particle Impact Electronic Excitation,HEX,"H+ + Al9+(1s22s12p1,3Po0) ","H+ + Al9+(1s22s12p1,3Po2)",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201212544,"H+ + Al9+(1s22s12p1,3Po1) -> H+ + Al9+(1s22s12p1,3Po2)",Heavy Particle Impact Electronic Excitation,HEX,"H+ + Al9+(1s22s12p1,3Po1) ","H+ + Al9+(1s22s12p1,3Po2)",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201212612,"D+ + Al9+(1s22s12p1,3Po0) -> D+ + Al9+(1s22s12p1,3Po1)",Heavy Particle Impact Electronic Excitation,HEX,"D+ + Al9+(1s22s12p1,3Po0) ","D+ + Al9+(1s22s12p1,3Po1)",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201212613,"D+ + Al9+(1s22s12p1,3Po0) -> D+ + Al9+(1s22s12p1,3Po2)",Heavy Particle Impact Electronic Excitation,HEX,"D+ + Al9+(1s22s12p1,3Po0) ","D+ + Al9+(1s22s12p1,3Po2)",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201212614,"D+ + Al9+(1s22s12p1,3Po1) -> D+ + Al9+(1s22s12p1,3Po2)",Heavy Particle Impact Electronic Excitation,HEX,"D+ + Al9+(1s22s12p1,3Po1) ","D+ + Al9+(1s22s12p1,3Po2)",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201216678,"T+ + Al9+(1s22s12p1,3Po0) -> Al9+(1s22s12p1,3Po1) + T+",Heavy Particle Impact Electronic Excitation,HEX,"T+ + Al9+(1s22s12p1,3Po0) ","Al9+(1s22s12p1,3Po1) + T+",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201216679,"T+ + Al9+(1s22s12p1,3Po0) -> Al9+(1s22s12p1,3Po2) + T+",Heavy Particle Impact Electronic Excitation,HEX,"T+ + Al9+(1s22s12p1,3Po0) ","Al9+(1s22s12p1,3Po2) + T+",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201216680,"T+ + Al9+(1s22s12p1,3Po1) -> Al9+(1s22s12p1,3Po2) + T+",Heavy Particle Impact Electronic Excitation,HEX,"T+ + Al9+(1s22s12p1,3Po1) ","Al9+(1s22s12p1,3Po2) + T+",Theoretical Data,K, cm^3 / s ,2012000664,-,Cross sections and rate coefficients for excitation of the 1s22s22p1 3PoJ → 1s22s12p1 3PoJ' fine-structure transitions in beryllium-like iions by heavy particle impact,"R. S. I. Ryans, V. J. Foster-woods, F. Copeland, F. P. Keenan, A. Matthews",ADNDT,70,179,1998
B201865980,"H1+ + Al8+(2p,2P1/2) -> H+ + Al8+(2p,2P3/2)",Heavy Particle Impact Excitation Excitation,HEX,"H1+ + Al8+(2p,2P1/2) ","H+ + Al8+(2p,2P3/2)",Theoretical Data,K, cm^3 / s ,2018000310,-,"Fine Structure Proton Excitation Rates for Positive Ions in the 2p, 2p5, 3p, 3p5 Series","Bely, O.; Faucher, P.",Astronomy and Astrophysics,6,88,1970
